hang on,hang on,2243,92,312,1,123,78,109,238,12,547,17,169,306,69,160,56,50,177,82,192,0,7,8,233,54,7,2,542,0,12,50,32,75,47,3,0,8,85,26,17,11,23,31,45,34,4,23,401,18,1
belong to,belong to,2155,101,343,20,2177,63,105,47,15,1094,6,30,178,1877,35,69,9,258,25,300,2,2,0,485,22,0,0,523,0,9,101,26,31,35,1,8,0,288,30,0,2,14,46,27,60,0,5,15,33,0
on front of,on front of,1950,101,716,10,1375,74,145,215,9,1208,14,150,390,709,139,133,30,641,180,889,1,10,9,695,68,5,1,664,0,14,122,15,76,46,0,85,288,0,26,8,10,28,96,55,154,6,19,77,59,0
around,around,799,195,459,10,208,238,899,1019,78,194,49,839,184,89,817,542,65,622,245,196,1,29,35,157,418,30,8,100,9,279,45,77,164,64,13,26,30,26,0,7,19,209,50,178,76,26,212,38,31,6
lay on,lay on,1627,120,809,28,81,147,104,304,108,434,46,175,790,8,146,133,834,75,156,47,4,75,588,367,71,233,271,29,113,136,74,101,94,63,76,17,0,8,7,0,163,15,33,36,14,23,29,13,22,14
sit in,sit in,1180,76,1388,27,45,86,146,373,56,205,12,264,351,10,256,80,869,169,107,54,6,75,463,152,116,487,240,11,53,90,262,12,82,224,9,11,2,10,19,163,0,18,246,27,8,51,31,7,173,24
below,below,553,326,433,25,190,392,591,703,117,118,123,534,157,62,426,1111,41,411,257,103,1,7,24,78,269,12,3,52,6,36,44,50,105,31,37,23,14,28,209,15,18,0,51,48,111,38,110,18,14,2
inside,inside,929,141,1261,35,219,132,332,539,40,264,14,394,307,111,386,129,190,403,149,178,5,84,129,182,197,161,18,130,10,68,508,29,124,285,3,31,46,96,50,33,246,51,0,86,35,45,63,32,379,6
along,along,1170,98,692,10,180,64,467,1053,8,268,10,963,290,68,990,84,74,267,215,657,0,6,59,266,736,44,24,123,2,144,89,75,175,91,0,45,27,55,178,36,27,48,86,0,63,1,113,22,52,4
for,for,769,362,354,6,646,390,328,433,262,298,143,371,206,157,312,426,36,323,236,229,0,4,15,187,178,9,0,254,4,35,27,45,152,26,8,34,60,154,76,14,8,111,35,63,0,4,45,31,23,2
watch,watch,395,150,190,61,51,465,503,421,328,117,52,414,135,9,230,62,191,172,48,20,9,243,109,35,165,45,15,2,18,24,28,3,23,16,88,4,0,6,26,23,51,38,45,1,4,0,49,5,26,29
between,between,594,222,390,13,120,262,534,738,62,122,70,696,144,39,614,184,73,412,223,197,3,27,54,52,446,26,17,53,10,42,51,63,157,20,12,23,5,19,212,29,31,110,63,113,45,49,0,25,34,4
hang from,hang from,703,82,345,2,182,70,96,194,16,476,11,132,333,123,130,64,30,142,72,168,1,4,6,286,60,7,2,379,0,9,33,24,44,59,1,401,15,77,38,13,7,18,32,22,31,5,25,0,15,0
inside of,inside of,529,113,615,38,120,112,93,200,38,128,23,168,156,52,163,77,91,145,91,77,22,41,63,126,98,157,11,58,6,41,277,26,79,242,9,18,33,59,31,22,173,14,379,52,23,26,34,15,0,3
play,play,59,45,50,27,11,62,40,44,63,29,18,37,25,8,25,11,36,12,24,5,3,13,43,12,12,30,24,2,3,18,16,2,7,12,17,1,0,0,6,14,24,2,6,4,2,29,4,0,3,0
