carry,carry,23,17,13,61,107,41,24,36,58,16,27,3,104,3,12,16,19,8,35,3,9,8,0,12,13,13,6,2,1,0,5,1,3,3,2,1,4,0,3,0,3,5,1,0,0,3,1,0,3,2,0,2,1,0,6,2,3,2,2,0,0,0,3,3,1,2,2,3,0,0
look,look,60,3,31,85,41,68,76,11,77,15,59,19,68,8,51,56,4,44,31,25,15,21,12,0,46,24,32,21,3,0,23,1,36,16,3,0,6,6,5,4,20,2,0,14,0,11,7,7,9,2,7,8,2,1,3,2,6,2,4,1,1,5,4,1,2,1,2,0,3,0
stand next to,stand next to,42,5,18,107,19,103,97,8,104,10,97,17,58,3,75,75,4,78,25,23,12,24,13,46,0,12,60,0,5,0,15,1,37,13,2,0,7,4,6,0,11,5,0,14,0,13,9,0,9,1,0,1,3,0,4,2,6,2,4,2,1,0,4,2,0,2,3,2,0,0
stand on,stand on,91,7,60,49,17,18,21,3,38,2,22,34,18,20,12,13,0,9,8,25,16,15,13,24,12,0,3,2,3,0,10,1,0,9,1,0,0,3,0,0,0,0,0,7,1,2,4,3,1,4,0,1,3,1,0,0,0,1,1,1,1,0,2,1,4,0,0,0,3,0
sit next to,sit next to,12,5,12,71,13,71,67,6,69,7,66,5,51,4,63,59,1,58,27,11,1,1,6,32,60,3,0,0,6,0,13,1,34,13,3,0,5,0,5,1,11,2,0,1,0,10,6,0,8,2,0,1,2,0,3,2,6,2,2,0,0,0,3,1,0,1,2,0,0,0
use,use,28,1,2,11,50,11,9,0,8,1,2,0,40,2,3,5,0,2,9,2,2,1,2,21,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
at,at,8,0,4,58,1,45,32,11,27,1,23,2,1,1,16,4,0,4,2,21,1,0,1,3,5,3,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cover,cover,19,0,45,4,1,18,5,1,13,1,4,1,0,27,1,4,0,2,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
touch,touch,28,5,26,36,19,30,27,6,38,11,30,11,26,14,22,22,5,16,18,16,9,6,5,23,15,10,13,2,2,0,0,0,10,13,2,0,6,1,7,0,9,2,0,2,0,10,2,2,8,1,0,4,1,1,3,2,6,3,3,0,1,0,4,1,2,1,2,0,2,0
attach to,attach to,42,1,12,14,5,13,11,5,10,5,5,5,2,3,3,8,2,1,2,0,9,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watch,watch,9,0,8,47,7,43,45,5,47,8,37,2,37,1,37,40,2,38,18,4,1,3,3,36,37,0,34,1,0,0,10,1,0,13,2,0,5,2,4,1,11,0,0,1,0,10,2,0,8,0,1,2,0,0,3,2,6,0,3,0,0,1,3,0,0,1,2,0,0,0
across,across,19,0,24,39,4,25,26,4,32,6,31,10,13,14,25,23,3,20,13,6,2,0,3,16,13,9,13,0,0,1,13,0,13,0,2,1,7,0,6,0,11,0,0,0,1,10,0,0,8,0,0,1,0,2,3,3,6,0,2,0,1,0,3,0,1,1,2,0,2,0
against,against,4,0,3,7,2,4,22,33,5,33,3,7,2,2,7,3,29,3,2,2,0,0,2,3,2,1,3,0,0,0,2,0,2,2,0,0,2,0,2,4,2,0,0,0,0,2,1,0,2,1,0,1,1,0,2,2,2,0,2,0,0,0,2,0,0,1,2,0,0,0
park next,park next,4,0,5,30,1,26,24,3,27,4,21,3,0,1,15,10,1,9,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
taller than,taller than,9,1,18,23,6,27,18,7,22,8,16,1,8,5,10,12,3,11,6,2,5,1,4,6,7,0,5,0,0,1,6,2,5,7,2,0,0,0,5,0,5,0,0,0,0,5,0,0,5,0,0,1,0,0,4,4,5,0,2,0,0,0,3,0,0,1,2,1,0,0
inside,inside,11,0,8,10,3,6,10,3,11,1,10,13,0,2,4,5,0,4,0,4,5,6,0,6,4,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
adjacent to,adjacent to,6,1,7,25,6,16,13,1,18,6,16,1,6,2,9,10,1,10,5,3,1,2,3,5,6,0,5,0,0,0,7,0,4,6,2,4,5,0,0,0,4,1,0,1,0,4,0,0,4,0,0,1,0,0,3,2,4,1,2,0,0,0,3,0,0,1,2,0,0,0
fly,fly,0,0,1,1,2,2,1,13,2,12,0,8,14,1,1,1,7,0,2,0,1,0,0,4,0,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
talk,talk,16,0,7,13,16,11,11,1,12,4,11,0,23,1,13,12,1,11,16,1,0,0,3,20,11,0,11,12,0,0,9,0,11,11,2,0,5,0,4,0,0,0,0,0,0,10,0,0,8,0,0,3,0,0,3,2,6,0,2,0,0,0,3,0,0,1,2,0,0,0
pull,pull,6,1,0,14,11,11,5,0,9,0,6,2,11,1,0,3,1,2,3,3,0,2,5,2,5,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
contain,contain,1,0,2,3,16,1,0,5,5,4,1,2,3,0,1,1,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drive,drive,18,0,3,19,3,14,18,2,17,0,17,14,2,1,13,10,0,9,1,12,4,15,0,14,14,7,1,0,0,0,2,0,1,0,0,0,0,6,1,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
park on,park on,19,0,19,11,0,3,3,0,8,0,12,13,0,12,6,0,0,2,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walk to,walk to,9,0,9,19,6,17,17,2,19,5,18,3,12,2,14,15,1,15,11,3,0,0,3,11,13,2,10,0,0,0,10,0,10,10,2,0,5,1,4,0,10,0,0,1,0,0,1,0,8,1,0,1,0,0,4,2,6,0,3,1,1,0,4,0,0,1,3,0,0,0
lean on,lean on,8,0,4,15,0,14,14,0,17,1,13,6,0,2,13,4,0,9,1,9,1,2,1,7,9,4,6,1,5,0,2,0,2,0,1,0,0,2,0,0,0,0,0,4,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
eat,eat,3,0,2,2,2,2,3,0,5,0,1,0,12,0,1,1,0,0,0,1,2,0,0,7,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
face,face,8,0,7,11,4,11,13,1,11,4,9,1,8,1,9,9,1,9,9,2,0,1,3,9,9,1,8,0,0,0,8,0,8,8,2,0,5,0,4,0,8,0,0,1,0,8,0,0,0,0,0,1,0,0,3,2,6,0,2,0,0,0,4,0,0,1,2,0,0,0
lying on,lying on,12,0,5,8,1,5,3,3,9,1,4,5,1,2,3,2,0,0,2,6,1,1,2,2,1,4,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
hit,hit,0,0,0,1,3,2,2,1,1,2,0,0,10,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
play with,play with,4,0,2,5,7,4,4,2,4,3,2,0,8,2,3,4,1,1,4,2,1,1,2,8,1,1,1,3,0,0,4,0,2,1,1,0,1,0,1,0,3,0,0,0,0,1,0,0,1,0,4,0,0,0,1,1,1,0,1,0,0,4,1,0,1,1,1,0,0,0
sleep on,sleep on,9,0,3,4,0,4,2,2,7,1,5,3,1,2,1,1,0,1,0,6,2,0,1,2,3,3,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drive on,drive on,8,0,8,5,1,1,2,0,5,1,4,6,0,7,6,2,0,3,0,1,4,0,0,1,0,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
stand behind,stand behind,3,0,3,7,6,8,6,5,7,7,7,0,5,1,5,4,3,5,4,1,0,0,6,3,4,0,3,0,0,0,3,0,3,3,2,1,4,0,3,0,3,0,0,0,0,4,0,0,3,0,0,1,0,0,0,2,3,0,2,0,0,0,3,1,0,1,2,1,0,0
follow,follow,2,0,2,7,2,6,7,2,6,2,5,0,2,2,4,6,1,5,2,1,0,0,2,2,2,0,2,0,0,0,2,0,2,3,2,0,4,0,2,0,2,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,2,0,2,0,0,0,2,0,0,1,2,0,0,1
sit behind,sit behind,4,0,6,7,4,6,7,2,7,5,6,0,6,1,7,6,1,7,6,1,0,0,3,6,6,0,6,0,0,0,6,0,6,6,2,0,5,0,4,0,6,0,0,0,0,6,0,0,6,0,0,1,0,0,3,2,0,0,2,0,0,0,3,0,0,1,2,0,0,0
rest on,rest on,6,0,2,5,3,4,3,0,5,1,4,3,4,3,1,4,0,1,1,5,2,2,2,2,2,1,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feed,feed,5,0,3,5,3,4,4,1,4,2,4,0,4,1,3,3,1,3,3,2,2,1,2,4,4,1,2,0,0,0,3,0,3,2,2,0,2,1,2,0,2,0,0,0,0,3,0,1,2,0,0,1,0,0,2,2,2,0,0,0,1,0,2,0,0,1,2,0,0,0
outside of,outside of,2,0,0,4,0,3,6,2,4,2,4,3,0,0,5,2,0,2,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
walk,walk,2,0,1,5,2,4,4,0,5,0,3,1,4,1,2,2,0,5,2,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
kick,kick,0,0,0,1,3,2,2,1,1,2,0,0,5,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walk next to,walk next to,5,0,4,5,3,5,5,1,5,3,5,2,3,2,4,4,1,4,3,3,0,1,3,4,4,2,3,0,0,0,4,0,3,3,2,0,3,0,3,0,3,0,0,1,0,4,0,0,4,1,0,1,0,0,3,2,3,0,2,0,0,0,0,0,0,1,2,0,0,0
stand under,stand under,1,0,1,4,3,4,4,2,5,2,2,0,2,0,3,2,2,2,4,1,0,0,3,1,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
skate on,skate on,4,0,4,3,1,0,3,0,4,0,3,2,1,3,1,2,0,1,1,3,2,1,1,2,0,4,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
sleep next to,sleep next to,1,0,1,3,2,2,1,1,2,1,3,0,2,1,1,1,1,1,2,1,0,1,2,1,2,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
walk beside,walk beside,3,0,2,3,2,3,3,1,3,2,3,1,2,1,3,2,1,2,2,1,0,0,2,2,3,0,2,0,0,0,2,0,2,2,2,0,2,0,2,0,2,0,0,0,0,3,0,0,2,0,0,1,0,0,2,2,2,0,2,1,0,0,2,0,0,1,0,0,0,0
sit under,sit under,0,0,0,3,2,2,2,3,3,3,1,0,3,0,1,0,3,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
walk past,walk past,3,0,3,2,0,0,2,0,2,0,2,2,0,2,2,2,0,1,0,3,0,0,0,3,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
park behind,park behind,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
